COMPNOS,NatureCode,Location
120420285,BERPTA,"(42.34638135, -71.10379454)"
120419202,PSHOT ,"(42.31684135, -71.07458456)"
120419213,ARMROB,"(42.34284135, -71.09698955)"
120419223,ALARMC,"(42.3164411, -71.06582908)"
120419236,ARMROB,"(42.27051636, -71.11989955)"
120419239,SHOT  ,"(42.31328183, -71.0530059)"
120419257,ARMROB,"(42.32425136, -71.08620956)"
120419424,THREAT,"(42.34924634, -71.06378456)"
120419255,REQP  ,"(42.35174635, -71.16590953)"
120419274,ALARMI,"(42.25938275, -71.11729354)"
120419278,BEIP  ,"(42.34180635, -71.09707955)"
120419280,IVMV  ,"(42.3092417, -71.05033304)"
120449819,LARCRT,"(42.34924634, -71.06378456)"
120419475,FDPROP,"(42.33490135, -71.07516956)"
120419370,FDPROP,"(42.35973634, -71.06796956)"
120419367,IVMV  ,"(42.34456135, -71.13768454)"
120419366,ILLPRK,"(42.36179134, -71.05277456)"
120419376,IVMV  ,"(42.33637135, -71.04348957)"
120419382,IVMV  ,"(42.32170135, -71.08190956)"
120419328,INVEST,"(42.33747731, -71.08062448)"
120419772,INJOFF,"(42.32220635, -71.08208955)"
120419387,INVCHD,"(42.31900788, -71.07964071)"
120419601,IVDRUG,"(42.30972244, -71.10427304)"
120421491,IVMV  ,"(42.31757135, -71.07794956)"
120419390,ARREST,"(42.35168135, -71.12518954)"
120419425,MVANO ,"(42.2751208, -71.11599434)"
120426141,ABRPT ,"(42.33394861, -71.07537988)"
120420132,BERPT ,"(42.28813781, -71.0948495)"
120419472,ARREST,"(42.30147136, -71.07512956)"
120419650,MISPER,"(42.26504136, -71.10888455)"
120419529,MVANO ,"(42.30342636, -71.06674457)"
120419534,ARREST,"(42.26728137, -71.11588955)"
120419541,UNK   ,"(42.30758393, -71.07751662)"
120420216,LSTPRP,"(42.30869467, -71.09044998)"
120423615,LSTPRP,"(42.33960135, -71.07699955)"
120444955,LSTPRP,"(42.33166635, -71.10762954)"
120447702,LSTPRP,"(42.3298129, -71.0925768)"
120422849,STOLMV,"(42.33217135, -71.04223957)"
120492013,LSTPRP,"(0.0, 0.0)"
120419586,IVDRUG,"(42.34130529, -71.0547108)"
120427046,LARCRT,"(42.29402635, -71.06054456)"
120419578,REQP  ,"(42.36568154, -71.05290553)"
120419589,BURN1 ,"(42.31492635, -71.05536956)"
120420276,LSTPRP,"(42.34603634, -71.07050456)"
120419595,IVPER ,"(42.29329136, -71.05965457)"
120419761,VANRPT,"(42.31371136, -71.05572957)"
120419607,FIGHT ,"(42.33614915, -71.0467171)"
120419614,PDRPT ,"(42.37955134, -71.03821957)"
120419723,MVANO ,"(42.32543556, -71.06387302)"
120420355,LARCRT,"(42.30754136, -71.07608956)"
120419648,INVEST,"(42.28410417, -71.04613468)"
120419811,IVPREM,"(42.31785135, -71.09880455)"
120419658,THREAT,"(42.34920135, -71.09544455)"
120419550,ARREST,"(42.26132637, -71.10319956)"
120420398,LSTPRP,"(42.35086634, -71.06070956)"
120421498,LARCRT,"(42.2680897, -71.09909872)"
120419712,BEMVRT,"(42.29751636, -71.06447956)"
120419715,DVIP  ,"(42.37848634, -71.03342957)"
120420272,BEMVRT,"(42.35693634, -71.06249456)"
120420632,LARCRT,"(42.36746634, -71.07019955)"
120421120,VANRPT,"(42.30011498, -71.07108061)"
120419967,INVEST,"(42.37699549, -71.03230969)"
120421992,LSTPRP,"(42.32623635, -71.10315955)"
120419737,FIRE  ,"(42.37928715, -71.0579425)"
120419719,OVRDOS,"(42.38094134, -71.04028457)"
120419502,IVPREM,"(42.32900135, -71.09213955)"
120419736,ABIP  ,"(42.29928135, -71.05918456)"
120419763,IVDRUG,"(42.33803135, -71.07640455)"
120421191,LARCRT,"(42.38054134, -71.03925957)"
120421332,BEMVRT,"(42.26320137, -71.16580953)"
120473465,IVMV  ,"(42.29812136, -71.08109956)"
120429046,LSTPRP,"(42.24122921, -71.12625579)"
120419893,LARCRT,"(42.34891635, -71.16084953)"
120421482,LSTPRP,"(42.25196296, -71.11916996)"
120419812,LARCRT,"(42.30746136, -71.07596956)"
120419813,ARREST,"(42.33105135, -71.08270956)"
120419830,IVPREM,"(42.31776637, -71.04205955)"
120447485,DOGRPT,"(42.33558135, -71.03846457)"
120419840,CD99  ,"(42.31991635, -71.07570956)"
120419977,ABRPT ,"(42.31981136, -71.08138956)"
120419849,NIDV  ,"(42.35680135, -71.15158952)"
120425912,VANRPT,"(42.35274635, -71.08240456)"
120419987,HARPT ,"(42.30911635, -71.08283956)"
120421431,VANRPT,"(42.35725634, -71.05631456)"
