,Data_Name,Color_Name,Personal_Color_Category,L*(D65),a*(D65),b*(D65),C*(D65),h(D65),x(D65),y(D65),L*(F11),a*(F11),b*(F11),C*(F11),h(F11),x(F11),y(F11),L*(C),a*(C),b*(C),C*(C),h(C),x(C),y(C),Munsell_Hue(C),Munsell_Value(C),Munsell_Chroma(C),Munsell_Hue(D65),Munsell_Value(D65),Munsell_Chroma(D65)
1,carmin,red,WS,39.3,50.35,26.07,56.69,27.37,0.5441,0.323,43.4,48.89,33.01,58.99,34.03,0.593,0.338,39.52,48.87,26.42,55.56,28.4,0.5411,0.3185,5.4R,3.91,12.31,5.5R,3.89,12.31
2,carmin2,red,WS,39.34,50.4,26.08,56.75,27.36,0.5441,0.3229,43.46,48.89,33.04,59.01,34.05,0.5929,0.3381,39.56,48.92,26.43,55.61,28.38,0.5411,0.3185,5.4R,3.91,12.32,5.5R,3.89,12.33
3,carmin3,red,WS,39.34,50.4,26.02,56.72,27.31,0.544,0.3228,43.46,48.89,32.98,58.97,34,0.5928,0.338,39.56,48.92,26.38,55.58,28.33,0.541,0.3184,5.4R,3.91,12.32,5.5R,3.89,12.33
4,RA,red,WA,56.31,33.08,14.99,36.32,24.38,0.4258,0.3318,58.71,32.53,18.36,37.35,29.45,0.4951,0.3572,56.49,31.84,15.21,35.28,25.53,0.4214,0.3238,5.1R,5.56,7.86,5.1R,5.54,7.94
5,RA2,red,WA,56.32,33.08,14.94,36.3,24.3,0.4256,0.3317,58.7,32.52,18.3,37.31,29.38,0.495,0.3571,56.5,31.84,15.16,35.26,25.46,0.4213,0.3237,5.1R,5.56,7.86,5.1R,5.54,7.94
6,RA3,red,WA,56.3,33.1,14.96,36.32,24.33,0.4257,0.3317,58.69,32.53,18.34,37.35,29.41,0.4951,0.3571,56.48,31.85,15.18,35.28,25.49,0.4214,0.3237,5.1R,5.56,7.86,5.1R,5.54,7.94
7,RS,red,CS,73.82,11.2,-1.88,11.35,350.45,0.3283,0.3179,74.31,10.95,-1.49,11.06,352.24,0.4026,0.3566,73.9,10.91,-1.82,11.06,350.52,0.3243,0.3067,4.0RP,7.24,3.37,4.0RP,7.23,3.42
8,RS2,red,CS,73.8,11.15,-1.86,11.3,350.53,0.3283,0.318,74.29,10.94,-1.49,11.04,352.24,0.4026,0.3567,73.88,10.86,-1.8,11.01,350.59,0.3243,0.3068,4.0RP,7.24,3.36,4.0RP,7.23,3.4
9,RS3,red,CS,73.81,11.14,-1.89,11.29,350.39,0.3282,0.318,74.29,10.87,-1.51,10.98,352.1,0.4024,0.3567,73.89,10.85,-1.82,11,350.46,0.3242,0.3068,4.0RP,7.24,3.35,4.0RP,7.23,3.4
10,R,red,WS,56.72,29.23,-3.24,29.41,353.67,0.3647,0.2944,58,30.04,-1.8,30.09,356.57,0.4468,0.3284,56.88,28.49,-3.07,28.66,353.85,0.3595,0.2848,5.2RP,5.53,7.44,5.2RP,5.52,7.52
11,R2,red,WS,56.72,29.21,-3.24,29.39,353.67,0.3646,0.2944,58.01,30.01,-1.8,30.07,356.58,0.4468,0.3285,56.89,28.48,-3.07,28.64,353.84,0.3595,0.2848,5.2RP,5.53,7.43,5.2RP,5.52,7.52
12,R3,red,WS,56.72,29.21,-3.26,29.39,353.63,0.3646,0.2943,58,30.02,-1.83,30.07,356.51,0.4467,0.3284,56.89,28.48,-3.09,28.64,353.8,0.3594,0.2848,5.2RP,5.53,7.43,5.2RP,5.52,7.52
13,RW,red,CW,48.52,45.07,-6.03,45.48,352.38,0.3973,0.267,50.9,44.15,-3.83,44.31,355.05,0.4802,0.3016,48.76,44.11,-5.89,44.5,352.4,0.3908,0.2587,5.5RP,4.75,11.08,5.6RP,4.72,11.16
14,RW1,red,CW,48.52,45.05,-5.99,45.45,352.43,0.3974,0.2671,50.91,44.13,-3.77,44.29,355.12,0.4803,0.3017,48.76,44.08,-5.85,44.47,352.45,0.3909,0.2588,5.5RP,4.75,11.07,5.6RP,4.72,11.15
15,RW2,red,CW,48.58,44.95,-6.05,45.36,352.34,0.3969,0.2672,50.95,44.05,-3.85,44.22,355.01,0.4799,0.3017,48.82,43.99,-5.9,44.38,352.36,0.3904,0.2588,5.5RP,4.75,11.06,5.6RP,4.73,11.13
16,BS,blue,WS,58.81,-22.09,-19.38,29.39,221.26,0.2254,0.2942,56.07,-21.06,-23.74,31.73,228.42,0.2852,0.339,58.71,-20.78,-19.55,28.53,223.25,0.223,0.28,5.5B,5.59,6.65,5.5B,5.61,6.69
17,BS1,blue,WS,58.82,-22.08,-19.4,29.4,221.3,0.2254,0.2941,56.08,-21.05,-23.77,31.75,228.48,0.2852,0.3389,58.72,-20.77,-19.57,28.54,223.3,0.223,0.28,5.5B,5.59,6.65,5.5B,5.61,6.7
18,BS2,blue,WS,58.82,-22.1,-19.4,29.41,221.28,0.2254,0.2941,56.08,-21.07,-23.75,31.75,228.43,0.2852,0.339,58.71,-20.79,-19.57,28.55,223.28,0.223,0.28,5.5B,5.59,6.65,5.5B,5.61,6.7
19,BA,blue,WA,37.31,-19.86,-14.47,24.57,216.08,0.2135,0.2953,34.72,-17.8,-18.42,25.61,225.98,0.2711,0.3368,37.19,-18.7,-14.62,23.74,218.01,0.2115,0.2806,3.4B,3.52,5.1,3.4B,3.53,5.16
20,BA1,blue,WA,37.31,-19.9,-14.48,24.61,216.04,0.2133,0.2953,34.72,-17.83,-18.44,25.65,225.97,0.271,0.3367,37.2,-18.74,-14.63,23.77,217.97,0.2114,0.2806,3.4B,3.52,5.11,3.4B,3.54,5.17
21,BA2,blue,WA,37.33,-19.87,-14.48,24.58,216.09,0.2134,0.2952,34.75,-17.84,-18.4,25.63,225.88,0.2711,0.3369,37.21,-18.71,-14.63,23.75,218.02,0.2115,0.2806,3.4B,3.52,5.11,3.4B,3.54,5.16
22,BSM,blue,CS,72.52,-3.39,-7.63,8.35,246.01,0.2916,0.3159,71.77,-2.39,-8.95,9.26,255.04,0.3641,0.3573,72.5,-3.06,-7.67,8.26,248.23,0.2882,0.3035,2.4PB,7.06,2.51,2.5PB,7.06,2.54
