,A,B,C,class
0,-57.114144811994805,-25.45538055562495,-19.57374251274368,0.0
1,-52.80468631799778,-26.000719941559048,-23.280472964106433,0.0
2,-48.495227824000736,-26.546059327493147,-26.987203415469185,0.0
3,-44.18576933000371,-27.091398713427246,-30.693933866831937,0.0
4,-39.876310836006674,-27.636738099361345,-34.400664318194686,0.0
5,-49.27186621199289,-28.774544492736865,-21.085063866735364,0.0
6,-44.96240771799586,-29.319883878670964,-24.791794318098116,0.0
7,-40.652949223998824,-29.865223264605063,-28.498524769460868,0.0
8,-36.34349073000179,-30.410562650539163,-32.20525522082362,0.0
9,-32.034032236004755,-30.95590203647326,-35.911985672186375,0.0
10,-41.429587611990975,-32.093708429848775,-22.596385220727043,0.0
11,-37.12012911799394,-32.639047815782874,-26.303115672089795,0.0
12,-32.810670623996906,-33.18438720171697,-30.009846123452547,0.0
13,-28.501212129999875,-33.72972658765107,-33.7165765748153,0.0
14,-24.19175363600284,-34.27506597358517,-37.42330702617805,0.0
15,-33.587309011989056,-35.412872366960684,-24.107706574718726,0.0
16,-29.277850517992025,-35.95821175289478,-27.814437026081478,0.0
17,-24.96839202399499,-36.50355113882888,-31.52116747744423,0.0
18,-20.65893352999796,-37.04889052476298,-35.22789792880698,0.0
19,-16.349475036000925,-37.59422991069708,-38.934628380169734,0.0
20,-25.74503041198714,-38.7320363040726,-25.619027928710405,0.0
21,-21.43557191799011,-39.2773756900067,-29.325758380073157,0.0
22,-17.126113423993075,-39.8227150759408,-33.03248883143591,0.0
23,-12.81665492999604,-40.3680544618749,-36.73921928279866,0.0
24,-8.50719643599901,-40.913393847809,-40.44594973416142,0.0
25,-17.902751811985226,-42.05120024118451,-27.130349282702085,0.0
26,-13.593293317988191,-42.59653962711861,-30.837079734064837,0.0
27,-9.283834823991157,-43.14187901305271,-34.54381018542759,0.0
28,-4.974376329994126,-43.68721839898681,-38.25054063679034,0.0
29,-0.6649178359970946,-44.23255778492091,-41.95727108815309,0.0
30,-10.060473211983307,-45.37036417829643,-28.641670636693767,0.0
