state_abbr,county_name,county_fips,vote_total_county,vote_per_AI,vote_per_AS,vote_per_AU,vote_per_CS,vote_per_D,vote_per_G,vote_per_I,vote_per_IP,vote_per_JF,vote_per_L,vote_per_LN,vote_per_NL,vote_per_NN,vote_per_PG,vote_per_PJ,vote_per_R,vote_per_UC,vote_per_UN,vote_per_UY,vote_per_WP,loc_pct_served,loc_pct_underserved,loc_pct_unserved,loc_count_served,loc_count_underserved,loc_count_unserved
DC,District of Columbia,11001,313096,0,0,0,0,92.44864195,0,0.8799218131,0,0,0,0,0,0,0,0,6.671436237,0,0,0,0,99.92431825,0.004068911078,0.07161283497,122790,5,88
MD,Prince George's,24033,376106,0,0,0,0,86.61467778,1.297240672,0,0,0,0.2576401334,0,0,0,0,0,11.00062217,0,0.8298192531,0,0,99.63700139,0.05619454188,0.3068040714,219861,124,677
VA,Petersburg,51730,13057,0,0,0,0,85.92325955,0.3369839933,0.513134717,0,0,0.191468178,0,0,0,0,0,13.03515356,0,0,0,0,98.40139285,0.3165558721,1.282051282,12434,40,162
MD,Baltimore,24510,215985,0,0,0,0,85.21378799,1.391300322,0,0,0,0.3893788921,0,0,0,0,0,12.19575433,0,0.8097784568,0,0,99.41154251,0.213216437,0.3752410489,200020,429,755
GA,Clayton,13063,111729,0,0,0,0,84.31383079,0.3141529952,0,0,0,0.2667167879,0,0,0,0,0,15.10529943,0,0,0,0,99.64667856,0.1370931788,0.2162282657,89403,123,194
SD,Oglala Lakota,46102,3062,0,0,0,0,83.83409536,0,2.351404311,0,0,0.5551926845,0,0,0,0,0,13.25930764,0,0,0,0,85.64780798,7.543472937,6.808719079,3497,308,278
VA,Charlottesville,51540,23247,0,0,0,0,83.60218523,0.8904374758,0.2753043403,0,0,0.4860842259,0,0,0,0,0,14.74598873,0,0,0,0,99.85517189,0.09909291867,0.04573519323,13100,13,6
MS,Jefferson,28063,3287,0,0,0,0,82.93276544,0.09126863401,0.4563431701,0,0,0.121691512,0,0,0,0,0,16.39793124,0,0,0,0,48.61013782,14.08549404,37.30436814,2081,603,1597
LA,Orleans,22071,158156,0,0,0,0,82.67090721,0.8725562103,0,0,0.3939148689,0.4824350641,0,0,0,0,0,15.25013278,0,0,0,0.3300538709,99.34919137,0.2245289773,0.4262796525,122124,276,524
VA,Richmond,51760,107645,0,0,0,0,82.40977286,0.8500162571,0.4366203725,0,0,0.4728505736,0,0,0,0,0,15.83073993,0,0,0,0,99.84900777,0.01540737089,0.1355848638,64806,10,88
NY,New York,36061,585252,0,0,0,0,82.37887269,0,0,0,0,0,0,0,0,0,0,17.62112731,0,0,0,0,99.74137704,0.01583405906,0.2427889056,37795,6,92
MS,Claiborne,28021,2422,0,0,0,0,82.03963666,0.08257638315,0.3303055326,0,0,0.04128819158,0,0,0,0,0,17.50619323,0,0,0,0,45.49145299,13.07692308,41.43162393,2129,612,1939
GA,DeKalb,13089,366008,0,0,0,0,81.86433083,0.6008065397,0,0,0,0.4254005377,0,0,0,0,0,17.10946209,0,0,0,0,99.79614689,0.08134983299,0.1225032779,208548,170,256
MO,St. Louis,29510,115281,0,0,0,0,81.36553292,1.214423886,0,0,0,0.7451357986,0,0,0,0,0,16.6749074,0,0,0,0,99.85162773,0.0581852035,0.09018706543,102966,60,93
CA,San Francisco,6075,399144,1.061020584,0,0,0,81.07074139,1.7271962,0,0,0,0.4685025956,0,0,0,0,0,15.67253923,0,0,0,0,99.76175658,0.0615685251,0.1766748981,149071,92,264
CA,Marin,6041,143669,0.9563649778,0,0,0,80.77664632,1.111582875,0,0,0,0.4405960924,0,0,0,0,0,16.71480974,0,0,0,0,97.99671817,0.3578102922,1.645471535,85998,314,1444
WI,Menominee,55078,1572,0,0,0,0,80.53435115,0.1272264631,0,0,0,0.06361323155,0,0,0,0,0,18.82951654,0,0,0,0.4452926209,96.57477026,3.341687552,0.08354218881,2312,80,2
